Company_ID,Consolidated_Name,Consolidation Code  / Duplicate?,Company_Name,Chinese Name,Team # for Evidence Tracking,Team + Company Name (For Reconcilation),Active/Inactive,Weighting Tags,Weighting Category,"Special Alert
- M/A=Flagged by Matt/Andy
- Tn = Flagged by Team & your #, T1 = Team1)",Company Evidence Count,Company Evidence Weight,Flagged by Matt / Andy,Sanctioned Company List,On Leads List,Special Alert,Total Company Weight,Data Source ID,Tracking Name,Source Name from Evidence,Original Company_ID,Team who logged it,When was it Logged,Trace file from Team,Business Type,POC,Company Website,Manufacturer?,1st 20 same,Othe Info,Deep Dive,Top Company,Priority Band,Consolidated Set #,Team Assignment for Deep Dive,PRC Home Base?,Publicly Traded?,Gort Complicity?
1,"Shanghai Lanjing Biotechnology Co., Ltd(2012)",Cons_079,"Shanghai Lanjing Biotechnology Co., Ltd(2012)",??????????,Team 1,"Team 1:Shanghai Lanjing Biotechnology Co., Ltd(2012)",Active,,Andy Short List,SA: M/A,#N/A,#N/A,0,0,0,500,500,1,TraCCC_Ident_1_2,#N/A,1,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,"Iamcor Biotech Co., Ltd.(2013)",,"Iamcor Biotech Co., Ltd.(2013)",?????????????,TBD,"TBD:Iamcor Biotech Co., Ltd.(2013)",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,2,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,"Hebei Milin Biotechnology Co., Ltd",,"Hebei Milin Biotechnology Co., Ltd",????????????,TBD,"TBD:Hebei Milin Biotechnology Co., Ltd",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,3,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,"Wuhan Yuancheng Gongchuang Technology Co., Ltd.",Cons_110,"Wuhan Yuancheng Gongchuang Tech Co.,Ltd.",???????????? ,Team 1,"Team 1:Wuhan Yuancheng Gongchuang Tech Co.,Ltd.",,,,SA: PRC_Funded Hit,1,635,0,0,0,500,1135,1,TraCCC_Ident_1_2,PRC_Associations_Conditioned .xlsx,4,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,"Hebei Naicang Trade Co., Ltd.(??????????)",,"Hebei Naicang Trade Co., Ltd.(??????????)",,TBD,"TBD:Hebei Naicang Trade Co., Ltd.(??????????)",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,5,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,"Hunan Shaoyang Hongtai Manufacturing Chemical. Co., Ltd.",,"Hunan Shaoyang Hongtai Manufacturing Chemical. Co., Ltd.",,TBD,"TBD:Hunan Shaoyang Hongtai Manufacturing Chemical. Co., Ltd.",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,6,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7,"Hebei ZhongDing Medical Research Ltd./Hebei ZhongDing Chemical Medicine Co,.Ltd.(2017)",,"Hebei ZhongDing Medical Research Ltd./Hebei ZhongDing Chemical Medicine Co,.Ltd.(2017)",,TBD,"TBD:Hebei ZhongDing Medical Research Ltd./Hebei ZhongDing Chemical Medicine Co,.Ltd.(2017)",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,7,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8,"Guangzhou Liwin Electronic Technology Co., Ltd.(2003)",,"Guangzhou Liwin Electronic Technology Co., Ltd.(2003)",,TBD,"TBD:Guangzhou Liwin Electronic Technology Co., Ltd.(2003)",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,8,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9,"Xingtai Senyang Chemicals Import and Export Co., Ltd.",,"Xingtai Senyang Chemicals Import and Export Co., Ltd.",,TBD,"TBD:Xingtai Senyang Chemicals Import and Export Co., Ltd.",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,9,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10,"Shenzhen Simeiquan Biotechnology Co., Ltd.",,"Shenzhen Simeiquan Biotechnology Co., Ltd.",,TBD,"TBD:Shenzhen Simeiquan Biotechnology Co., Ltd.",active,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,10,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,"Xi'an Qiao Qi Mei Industry and Trade Co., Ltd. (2016)",,"Xi'an Qiao Qi Mei Industry and Trade Co., Ltd. (2016)",,TBD,"TBD:Xi'an Qiao Qi Mei Industry and Trade Co., Ltd. (2016)",inactive,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,11,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12,"Hebei Kaishun biotechnology Co.,Ltd.(2014)",,"Hebei Kaishun biotechnology Co.,Ltd.(2014)",,TBD,"TBD:Hebei Kaishun biotechnology Co.,Ltd.(2014)",active,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,12,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13,Shijiazhuang Jubite Fine-chemical Material Co. Ltd.(2009),,Shijiazhuang Jubite Fine-chemical Material Co. Ltd.(2009),,TBD,TBD:Shijiazhuang Jubite Fine-chemical Material Co. Ltd.(2009),active,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,13,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14,"Wuhan Heisenberg Technology Co.,Ltd.(2012)",,"Wuhan Heisenberg Technology Co.,Ltd.(2012)",,TBD,"TBD:Wuhan Heisenberg Technology Co.,Ltd.(2012)",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,14,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15,"Guangzhou Honch Chemical Technology Co., Ltd.",Cons_020,"Guangzhou Honch Chemical Technology Co., Ltd.",,Team 1,"Team 1:Guangzhou Honch Chemical Technology Co., Ltd.",,,,SA: PRC_Funded Hit,#N/A,#N/A,0,0,0,500,500,1,TraCCC_Ident_1_2,#N/A,15,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16,Chengdu Yancey Company,,Chengdu Yancey Company,,TBD,TBD:Chengdu Yancey Company,,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,16,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17,"Nanjing Zhongcheng Industry Co., Ltd.",,"Nanjing Zhongcheng Industry Co., Ltd.",,Team 1,"Team 1:Nanjing Zhongcheng Industry Co., Ltd.",,,,SA: PRC_Funded Hit,1,610,0,0,0,500,1110,1,TraCCC_Ident_1_2,PRC_Associations_Conditioned .xlsx,17,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18,"Qingdao Happy Biological Technology Co., Ltd.(2015)",CC_165,"Qingdao Happy Biological Technology Co., Ltd.(2015)",,TBD,"TBD:Qingdao Happy Biological Technology Co., Ltd.(2015)",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,18,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19,"Hebei Ao Xuan Import and Export Trade Co., Ltd.(2015)",,"Hebei Ao Xuan Import and Export Trade Co., Ltd.(2015)",,TBD,"TBD:Hebei Ao Xuan Import and Export Trade Co., Ltd.(2015)",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,19,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20,"Hangzhou Xiangshengjie Import & Export Co.,Ltd.(revoked)",,"Hangzhou Xiangshengjie Import & Export Co.,Ltd.(revoked)",,TBD,"TBD:Hangzhou Xiangshengjie Import & Export Co.,Ltd.(revoked)",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,20,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21,"YaFeng Biological Technology Co., Ltd.(2010)",Cons_115,"YaFeng Biological Technology Co., Ltd.(2010)",,TBD,"TBD:YaFeng Biological Technology Co., Ltd.(2010)",,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,21,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22,"Shijiazhuang Zulei Commerce Co.,Ltd./Shijiazhuang Zu Lei Trading Co., Ltd.(2005) ",,"Shijiazhuang Zulei Commerce Co.,Ltd./Shijiazhuang Zu Lei Trading Co., Ltd.(2005) ",,TBD,"TBD:Shijiazhuang Zulei Commerce Co.,Ltd./Shijiazhuang Zu Lei Trading Co., Ltd.(2005) ",active,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,22,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23,"Hebei Jiangkai Trading Co., Ltd./Hebei Jiangkai Import and Export Trade Co.,Ltd.",No Cons,"Hebei Jiangkai Trading Co., Ltd./Hebei Jiangkai Import and Export Trade Co.,Ltd.",,TBD,"TBD:Hebei Jiangkai Trading Co., Ltd./Hebei Jiangkai Import and Export Trade Co.,Ltd.",not sure,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,23,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24,"Hebei Benteng Biotechnology Co., Ltd.(2016) , current name?Hebei Wanlun Import& Export Trading Co., Ltd.",Cons_027,"Hebei Benteng Biotechnology Co., Ltd.(2016) , current name?Hebei Wanlun Import& Export Trading Co., Ltd.",,TBD,"TBD:Hebei Benteng Biotechnology Co., Ltd.(2016) , current name?Hebei Wanlun Import& Export Trading Co., Ltd.",active,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,24,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25,"Overcomer Research Chemicals Co., Ltd.(2014)",,"Overcomer Research Chemicals Co., Ltd.(2014)",,TBD,"TBD:Overcomer Research Chemicals Co., Ltd.(2014)",not active,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,25,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26,"Dongmao Biotechnology Co., Ltd.(2013)",,"Dongmao Biotechnology Co., Ltd.(2013)",,TBD,"TBD:Dongmao Biotechnology Co., Ltd.(2013)",not active,,,,#N/A,#N/A,0,0,0,0,0,1,TraCCC_Ident_1_2,#N/A,26,Team 4,,,#N/A,#N/A,#N/A,#N/A,not same,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
